,car_name,brand,model,Age_of_vehicle,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,avg_cost_price
0,Maruti Alto,Maruti,Alto,11,120000.0,Individual,Petrol,Manual,19.7,796.0,46.3,5.0,1.2,4.112027027027027
1,Hyundai Grand,Hyundai,Grand,7,20000.0,Individual,Petrol,Manual,18.9,1197.0,82.0,5.0,5.5,7.295
2,Hyundai i20,Hyundai,i20,13,60000.0,Individual,Petrol,Manual,17.0,1197.0,80.0,5.0,2.15,10.810042134831459
3,Maruti Alto,Maruti,Alto,11,37000.0,Individual,Petrol,Manual,20.92,998.0,67.1,5.0,2.26,4.112027027027027
4,Ford Ecosport,Ford,Ecosport,8,30000.0,Dealer,Diesel,Manual,22.77,1498.0,98.59,5.0,5.7,11.965
5,Maruti Wagon R,Maruti,Wagon R,10,35000.0,Individual,Petrol,Manual,18.9,998.0,67.1,5.0,3.5,6.05
6,Hyundai i10,Hyundai,i10,10,40000.0,Dealer,Petrol,Manual,20.36,1197.0,78.9,5.0,3.15,6.585
7,Maruti Wagon R,Maruti,Wagon R,5,17512.0,Dealer,Petrol,Manual,20.51,998.0,67.04,5.0,4.1,6.135
8,Hyundai Venue,Hyundai,Venue,4,20000.0,Individual,Petrol,Automatic,18.15,998.0,118.35,5.0,10.5,10.36
12,Maruti Swift,Maruti,Swift,6,28321.0,Dealer,Petrol,Manual,16.6,1197.0,85.0,5.0,5.11,7.81
14,Hyundai Verna,Hyundai,Verna,10,65278.0,Dealer,Diesel,Manual,22.32,1582.0,126.32,5.0,4.25,15.69
15,Renault Duster,Renault,Duster,7,50000.0,Individual,Diesel,Manual,19.64,1461.0,108.45,5.0,7.5,14.16888888888889
17,Maruti Ciaz,Maruti,Ciaz,7,76000.0,Dealer,Diesel,Manual,28.09,1248.0,88.5,5.0,6.5,11.595719424460432
18,Maruti Swift,Maruti,Swift,7,20000.0,Individual,Diesel,Manual,25.2,1248.0,74.0,5.0,6.27,7.746715686274511
20,Maruti Swift,Maruti,Swift,9,62200.0,Dealer,Diesel,Manual,28.4,1248.0,74.0,5.0,4.25,7.746715686274511
21,Toyota Innova,Toyota,Innova,10,110000.0,Individual,Diesel,Manual,12.99,2494.0,100.6,8.0,6.05,24.861428571428572
